MTH,WRKDATE,YR,DIV,DIV_NAME,TYPE,TASK,WO,CRTDAT,EQ,FCT,LINE,SHOP,TRADE,HRS,period,perno,CRTYR,CRTMTH
4,14-04-07,2014,132,CSA - Administration,D3,          ,1412609   ,1140404,038-REUN_MECA  ,SFACT001                      ,SATEL     ,SINST,MECA,2,2014-04,74,2014,04
5,14-05-26,2014,118,Cascades Canada - Trait. eaux,C3,          ,1412616   ,1140404,M-030-118      ,TVENT035                      ,TEXTER    ,SELEC,MOTEUR,1.5,2014-05,65,2014,04
4,14-04-07,2014,118,Cascades Canada - Trait. eaux,C3,          ,1412616   ,1140404,M-030-118      ,TVENT035                      ,TEXTER    ,SELEC,MOTEUR,1,2014-04,74,2014,04
5,14-05-13,2014,161,Cascades Groupe Tissu KF Mac 1,PA,IPVER186  ,1412751   ,1140407,TMPE101        ,I.ELE101                      ,ILIC1     ,SELEC,MOTEUR,4,2014-05,65,2014,04
1,15-01-13,2015,161,Cascades Groupe Tissu KF Mac 1,CA,          ,1412848   ,1140408,MDC-060-001    ,ISECH106                      ,ILIC1     ,SELEC,MOTEUR,2,2015-01,9,2014,04
4,14-04-14,2014,167,Cascades Groupe Tissu KF Desen,C3,          ,1412852   ,1140408,UHY0087        ,IUHYD703                      ,IDESEN    ,SINST,MECA,2,2014-04,74,2014,04
5,14-05-01,2014,151,Cascades Papier Kingsey Falls,C3,          ,1412859   ,1140408,DBATI100-M     ,KMAGA001                      ,KMAG      ,SELEC,MOTEUR,2,2014-05,65,2014,04
5,14-05-21,2014,162,Cascades Groupe Tissu KF Mac 2,PA,IPVER092  ,1413003   ,1140409,ENR0004        ,IENRL201                      ,ILIC2     ,SINST,MECA,6,2014-05,65,2014,04
5,14-05-20,2014,162,Cascades Groupe Tissu KF Mac 2,PA,IPVER092  ,1413003   ,1140409,ENR0004        ,IENRL201                      ,ILIC2     ,SINST,MECA,2,2014-05,65,2014,04
5,14-05-16,2014,162,Cascades Groupe Tissu KF Mac 2,PA,IPVER092  ,1413003   ,1140409,ENR0004        ,IENRL201                      ,ILIC2     ,SINST,MECA,3,2014-05,65,2014,04
